,Predicted Labels,True Labels,Misclassification,Text,Logit Values,Probabilities
0,positive,neutral,MISS,"Ville være fantastisk, meeeen....",[-1.0778433 -1.2909169  2.620921 ],[0.02369362 0.01914674 0.9571596 ]
1,positive,positive,TRUE,"Jeg🤞🏼 for, at #skolechat og de nationale test kommer til at fylde i valgkampen. Det bør være en folkelig debat. Og anbefaler dette interview med @USER, der var undervisningsminister, da de nationale test blev besluttet",[-3.077285  -2.1121001  6.01512  ],[1.12471214e-04 2.95267731e-04 9.99592245e-01]
2,neutral,neutral,TRUE,FHK-kæmpe skal ikke med i ligaen: Får ikke forlænget sin aftale,[-3.1168404  6.072755  -4.2537384],[1.0208241e-04 9.9986517e-01 3.2749329e-05]
3,positive,neutral,MISS,Softwarestartup rejser 91 millioner til ekspansion og udbredning af platform,[-3.8915157   0.33597633  3.768625  ],[4.5628726e-04 3.1276271e-02 9.6826744e-01]
4,negative,negative,TRUE,"Er det ikke en lidt paranoid opfattelse? Hvad med Margaret Thatcher, Angela Merkel og Theresa May? Der er da ingen som taler om deres mænd?",[ 6.8284235 -2.01291   -4.7039747],[9.9984562e-01 1.4460746e-04 9.8056425e-06]
5,neutral,neutral,TRUE,Landmænd har ventet flere år på støtte: Udflytning har bremset millioner til landbruget (Dette er en plus-artikel),[-6.004686    4.592268    0.82328963],[2.4427716e-05 9.7742099e-01 2.2554602e-02]
6,positive,positive,TRUE,Kim var fantastisk fagligt og en god nabo. Jeg havde meget god sparring med ham vedr HPV. Og var glad fordi han sagde ja til at deltage. Savner ham,[-3.3413377 -2.5797846  6.909853 ],[3.5311525e-05 7.5623131e-05 9.9988902e-01]
7,negative,negative,TRUE,"Når man mener det er helt OK at komme med homofobiske tilråb under en fodboldkamp, er det vel også på sin plads med en ordentlig mandeslåskamp efter kampen....

Der findes mænd der ALDRIG kommer ud over stenalderstadiet..",[ 4.516049  -1.1298876 -3.5620382],[9.9617261e-01 3.5183216e-03 3.0907654e-04]
8,neutral,negative,MISS,Saudierne er mestre i at manipulere de globale medier. Læs min seneste i @USER: #SaudiArabien #Dkmedier #dkpol,[-2.0975432  2.886621  -1.2776535],[0.00669561 0.97810376 0.0152007 ]
9,neutral,negative,MISS,"Er det et godt tegn, når man som fodboldspiller har fuldt fokus på ikke at blive skadet? #sldk",[-5.576567   6.01688   -1.4996092],[9.2212513e-06 9.9944705e-01 5.4373848e-04]
10,neutral,neutral,TRUE,"BPA er verdens bedste kompensationsordning. Men den kan kun fungere, hvis de borgere der ønsker det, kan overdrage deres arbejdsgiveansvar. Den ret udhules fuldstændig, når kommunerne presser adm.bidraget i bund #dkpol @USER
[LINK]",[-3.7617636  6.3658323 -3.7488773],[3.9958210e-05 9.9991953e-01 4.0476447e-05]
11,neutral,positive,MISS,"Ny opgørelse viser, at det i høj grad er TV 2-kanalerne, der har skruet op for produktionen af ny dansk tv-fiktion #dkmedier",[-4.463868    4.423115   -0.65910536],[1.3730481e-04 9.9369568e-01 6.1669904e-03]
12,neutral,negative,MISS,"tbh Jeg antager altid, at de fleste lande uden af Europa er farlige, for folk som mig. Det er mere sikker, end at antage det modsatte.",[-2.9839137  4.929999  -2.9332235],[3.6534705e-04 9.9925023e-01 3.8434420e-04]
13,negative,negative,TRUE,"Det fortæller jo alt, DF byder nazilignende tilstande velkommen i folketinget.

Håber ikke at det overrasker nogen.

#dkpol",[ 4.05764   -2.133189  -1.6470435],[0.9946503  0.00203717 0.00331252]
14,neutral,neutral,TRUE,"pinen er udsat til imorgen, det er en større omgang jeg er igennem.",[-1.8709637  0.9826693  0.8265096],[0.03012694 0.52272356 0.44714952]
15,positive,positive,TRUE,"Sikkert nok, og du har ret i, at der ""altid"" er mange Brøndby-folk med i Odense. Men den fine kulisse i dag skyldes også et pænt Odense-fremmøde.",[-2.5318246 -3.1750832  6.6843514],[9.9403056e-05 5.2243988e-05 9.9984837e-01]
16,negative,negative,TRUE,"Ligesom meget andet i livet så er der vel sagtens både gode, dårlige, indholdsrige, og uinteressante pressemøder - men I journalister bliver vel betalt for det ... Det er jeres arbejde eller ??",[ 6.425781  -1.7218351 -4.5734444],[9.9969399e-01 2.8933611e-04 1.6709524e-05]
17,neutral,neutral,TRUE,Blågårdsgade 2. Look for Sasaa at Facebook,[-3.9812646  5.491516  -2.3328538],[7.688061e-05 9.995235e-01 3.996799e-04]
18,positive,positive,TRUE,"DAT fejrer 30 år med fly Det er i dag 30 år siden, at Kirsten og Jesper Rungholm lettede med deres første fly. I dag råder de over 22 fly og har mere end 500 ansatte.",[-4.293605  -1.4613569  6.5853753],[1.8843934e-05 3.2003797e-04 9.9966109e-01]
