,Predicted Labels,True Labels,Misclassification,Text,Logit Values,Probabilities
0,neutral,neutral,TRUE,@USER Klæk det æg!,[-0.21994458  0.19859222  0.12314878],[0.25451532 0.38679615 0.35868853]
1,negative,negative,TRUE,"Jeg er sindssygt enig i, at præmissen om rød og blå blok er ødelæggende. Medierne kunne gøre en kæmpe forskel, hvis de redefinerede måden de dækker politik på, men desværre er et binært verdensbillede langt mere enkelt at forholde sig til end et systemisk. #dkpol #dkmedier [LINK]",[ 1.1068294  -0.30582768 -0.56438273],[0.69856083 0.1700964  0.13134272]
2,negative,negative,TRUE,@USER @USER @USER @USER @USER @USER Uanset hvad du har lavet før er det ingen undskyldning for at være dum på twitter,[ 1.0910276  -0.29421622 -0.5818857 ],[0.6954286  0.17403986 0.13053155]
3,negative,negative,TRUE,"@USER Det var derfor jeg lige skrev det dér for en sikkerheds skyld. Det var ikke tydeligt for mig, det var en joke.

Jeg er med på holdet med ikke rigtig at have drømme for livet. Jeg vil ikke sige, mit liv er et mareridt længere, men har måttet lære ikke at have håb og drømme.",[ 1.0978873 -0.3445719 -0.5357133],[0.6985332  0.16509542 0.1363714 ]
4,neutral,neutral,TRUE,"@USER Sådan skal forsendelser selvfølgelig ikke levers. Hvis du ikke er hjemme eller den ikke kan være i postkasse, er det på posthuset. 
Kan jeg be' dig om at sende pakkenummer samt adressen i pb? Så undersøge jeg nærmere.

^TV",[-0.12167104  0.31211394 -0.06936945],[0.27802643 0.42901897 0.29295462]
5,neutral,neutral,TRUE,RT @USER: No plans today? Stream the latest #Riverdale: [LINK] [LINK],[-0.8756201   0.49394336  0.431162  ],[0.11590306 0.45592016 0.42817685]
6,neutral,neutral,TRUE,"La oss si at Chelsea beholder Hazard. 
Kepa
Dave
Luiz
Rudi
Emerson
Jorghino
Kante
RLC
CHO
Hazard
Abraham

Men det viktigste er faktisk å beholde Sarri.
Lukter gull neste år.
#carefree",[-0.48228657  0.26826155  0.24877106],[0.19247659 0.40769634 0.39982706]
7,negative,negative,TRUE,"@USER @USER @USER @USER Synes bare det er lidt underligt at frydes over, at der fjernes forskningsmidler fra kernekraft? Hvis det blev for ærgerlig en drejning, kan vi da godt holde her. Min holdning er, at der er en uforholdsmæssig stor modvilje mod kernekraft i Danmark i forhold til vidensniveauet.",[ 1.1247299 -0.3450207 -0.56423  ],[0.70686644 0.16256714 0.13056639]
8,negative,neutral,MISS,"Danmark er nok det eneste sted i verden, hvor ytringfriheden åbenbart står over loven....

#DKpol",[ 1.1030146  -0.34753758 -0.5385193 ],[0.7002196  0.16416003 0.13562043]
9,negative,negative,TRUE,"Øv @USER! Du snakker udenom i @USER om billigere tandpleje
I praler af at have haft regeringsansvar i 17 af de seneste 20 år &amp; så snakker du om at bureaukratiske tilskudsodninger &amp; at andre skal byde ind med finansiering
Hvad laver jeres ministre? #sundpol #dkpol",[ 1.1382519  -0.35177842 -0.5662388 ],[0.71061546 0.16014844 0.12923607]
10,neutral,neutral,TRUE,"Hvis brugsen i Pedersker skal overleve, skal medlemmerne begynde at bruge lidt flere penge.

Se mere i nyhederne kl. 19.30. [LINK]",[-0.7378533   0.5287228   0.29283825],[0.13602324 0.48270312 0.38127363]
11,positive,positive,TRUE,"@USER @USER @USER @USER Og her er den lille statistik, som @USER gjorde sit bedste for at skyde ned ;)

#esportdk #csgo #globaloffensive 

[LINK]",[-0.8731756   0.43309486  0.5105151 ],[0.11518114 0.42529222 0.45952657]
12,positive,positive,TRUE,"Anbefalet. Journalistens @USER besøgte @USER i går, og hans reportage giver et fedt (og citatspækket) indtryk af stemningen 👏 #dkmedier #dkpol [LINK]",[-0.89498633  0.44096282  0.5180182 ],[0.11220971 0.42680132 0.4609889 ]
13,negative,negative,TRUE,"@USER @USER @USER Det er jo ikke tilfældigt det hedder national SOCIALISME. Han fik stemmer og kom til magten netop på, at alle fik job, velstand, velfærd og en VW. Han var faktisk ret populær i starten indtil det socialistiske slog igennem og alle mistede det hele igen, inklusive demokratiet",[ 1.0704662  -0.34884214 -0.5140381 ],[0.6911181  0.16716854 0.14171337]
14,negative,negative,TRUE,@USER @USER Alle fersken-vingummier på et skib og ud af verden. Asap.,[ 0.884357   -0.14586349 -0.54615563],[0.62652147 0.22362322 0.14985533]
15,positive,positive,TRUE,Det her er ganske enkelt fremragende #takemymoney [LINK],[-0.8634387   0.38085663  0.5622848 ],[0.11585666 0.4020792  0.4820642 ]
16,neutral,neutral,TRUE,"@USER Ok så går jeg i det mindste ikke glip af noget. Jeg lavede blogger-madder med avokado, hytteost og pocheret æg i stedt (er det stadig blogger mad hvis man ikke tager billede af det?)",[-0.568865    0.344093    0.26281288],[0.17274582 0.4304277  0.39682654]
17,negative,negative,TRUE,"Yderligere nedsabling af integrationsområdet skal nu betale for vores sundhedssektor i en tid hvor regeringen har 40 milliarder i overskud på budgettet og hvor Rockwool fonden har vist, at integrationsbesparelserne øger kriminaliteten.
#dkpol
[LINK]",[ 1.0915339  -0.28251824 -0.5819089 ],[0.69411695 0.17566667 0.13021637]
18,negative,negative,TRUE,"Det er imponerede at #dkpol har kunnet slippe afsted med det 'argument' i årevis uden at #dkmedier stiller det indlysende spørgsmål; 'Jamen er vi ikke enige om, at i civiliserede samfund, gør vi aldrig overlagt skade på gidsler'?",[ 1.1335297  -0.35995856 -0.55514294],[0.7095457  0.15935536 0.13109894]
19,positive,positive,TRUE,"Nåh, men så var det jo at jeg var på arbejde i et par dage i Jylland &amp; derfor først nu har fået læst @USER's fremragende analyse &amp; longread om forholdet mellem @USER &amp; @USER for @USER - den kan sagtens tåle at blive delt igen #dkpol [LINK]",[-0.84311426  0.38043264  0.530196  ],[0.11979458 0.40720853 0.47299686]
20,positive,positive,TRUE,.@USER i fremragende sejr – kæmpestort tillykke! – gjorde søndagens Liége-Bastogne-Liége til den mest sete udgave i 20 år af denne cykelklassiker og var med til at gøre 28. april til årets stærkeste søndag på TV 2 siden VM-håndboldfinalen. #dkmedier #cyklingtv2 #cycling [LINK],[-0.8861341   0.41362426  0.54643196],[0.11289427 0.41414246 0.47296327]
21,positive,neutral,MISS,"@USER @USER Det vilde er, at Cruyff havde større betydning i FC Barcelona som træner end som spiiller 😁👍🏼",[-0.88915634  0.44357762  0.52592677],[0.11225582 0.42560616 0.462138  ]
22,negative,negative,TRUE,Det er trist og pinligt at opleve direkte løgn på twitter. EU giver hektarstøtte til opdyrkning af jord. Ikke til kødproduktion. #propagandaløgn [LINK],[ 1.0998013  -0.3331197  -0.54525226],[0.6985127  0.16667278 0.13481449]
23,negative,neutral,MISS,"At behandle fake news som en smitsom sygdom er ikke nødvendigvis en ny tilgang, men interessant, når det kommer fra et af verdens lande med det største forbrug af sociale medier. #FakeNews #dkmedier [LINK]",[ 0.69250095 -0.01016388 -0.49328348],[0.55531794 0.27502882 0.1696532 ]
24,neutral,positive,MISS,"Dislike homofobiske tilråb. I selskab med @USER, Jonas Bager og Mathias Heiberg, har vi i fællesskab sat nogle ord på episoderne som skete søndag og mandag. 
[LINK]
#sldk #signejtilhomofobi",[-0.8623797   0.47774372  0.4414853 ],[0.11760527 0.44919506 0.4331997 ]
25,negative,negative,TRUE,"@USER Selvfølgelig. Der er masser af gode undskyldninger for, at man gjorde, som man gjorde. Man fattede jo åbenlyst ikke sagens alvor. Men at gå i flyverskjul indtil ens egen undersøgelse var klar - en undersøgelse der kun kunne være negativ for bank/ledelse - var et underligt træk.",[ 1.1302778  -0.34292093 -0.5594558 ],[0.70733374 0.16211468 0.13055165]
26,positive,positive,TRUE,@USER @USER Stort tillykke til dig og Sundhedsstyrelsen :-),[-0.8611978   0.34524316  0.5621317 ],[0.11775111 0.39347365 0.4887752 ]
27,neutral,neutral,TRUE,@USER Læs artiklen. Det er de 14 danskere i EP - sammenlignet med de 179 i Folketinget :-),[-0.75164145  0.5095392   0.32565904],[0.13393465 0.47273389 0.3933314 ]
28,negative,negative,TRUE,"@USER Helt enig. Ignorer ham, ligesom man ignorerer andre, der bare vil provokere. Men man bør nok sikre, at han ikke har væsentlige psykiatriske problemer. Og så må det være helt klart at man ikke kaster med sten efter politiet eller brænder biler af under nogen omstændigheder. #dkpol",[ 1.1326668 -0.3556154 -0.5599304],[0.70931995 0.16013616 0.1305439 ]
29,neutral,positive,MISS,"@USER Hvor mange burpees tager du, hvis det udskrives før;-)",[-0.6918996   0.46952498  0.2988638 ],[0.14518486 0.46379027 0.3910249 ]
30,negative,negative,TRUE,"Enhver skattelettelse er en underminering af velfærdsstaten ! 

HUSK - Man skal blot lade være med at stemme på de Liberale Partier og de Borgerlige Partier og på Støtte Partiet Dansk Folkeparti når Folketingsvalget 
kommer ! [LINK]",[ 1.1107147 -0.3297398 -0.557749 ],[0.7015788  0.16614796 0.13227321]
31,positive,positive,TRUE,"@USER Jeg er oprigtig trist over grunden til dine to stærkt hjælpsomme bøger om sorg, og jeg er ligeledes trist over, at der i januar opstod en anledning til at høre dem. Det sagt, er jeg alligevel glad for, at du gjorde det og at jeg hørte dem, så tak, Esben.",[-0.67919165  0.259779    0.5087329 ],[0.14624983 0.37401173 0.4797384 ]
32,positive,negative,MISS,@USER @USER @USER Ja for de havde haft præcis samme betydning for kampen.... Ædru? Næppe.,[-0.21738365  0.08307211  0.14666566],[0.26387873 0.35636145 0.37975982]
33,negative,negative,TRUE,@USER To gange inden for 14 dage har P1 Debat haft ham på... Er det virkelig nødvendigt @USER ?? Skal vi ikke snart skåne det dyrebare offentlige rum lidt?,[ 0.5653172  -0.02625513 -0.35513633],[0.512349   0.2835628  0.20408826]
34,positive,neutral,MISS,Hurtigt overblik: Her er de vigtigste nyheder fra Finans tirsdag morgen [LINK] [LINK],[-0.91001946  0.4815693   0.48903504],[0.11022197 0.4432283  0.4465497 ]
35,negative,negative,TRUE,"@USER Hej Daniel, nu var det jo lige Brøndbyfans, der toppede dumheden i går. Men jeg er sådan set fløjtende ligeglad, hvilket hold du hepper på: Stop homofobi! Det gælder alle klubber og fans, det burde egentligt ikke være nødvendigt at understreg, men nu har du det så sort på hvidt.",[ 1.1059858  -0.33835927 -0.5600926 ],[0.7018099  0.16555732 0.13263276]
36,neutral,positive,MISS,Se de flotte dronebilleder: Våde marker forsinker landmændenes forårsarbejde [LINK],[-0.8858065   0.49353415  0.477777  ],[0.1125814  0.447205   0.44021356]
37,neutral,neutral,TRUE,"Brøndby IF skifter. '73: Simon Tibbling går ud, og Besar Halimi kommer ind",[-0.869921    0.522468    0.40742186],[0.11612312 0.46733207 0.4165448 ]
38,positive,positive,TRUE,Har her til morgen lyttet 3 x til Journey - Separate ways... #maarupmusikinspiration #rock #classic🤘 [LINK],[-0.90259856  0.45467567  0.49979386],[0.11172558 0.43411955 0.4541548 ]
39,negative,negative,TRUE,"Et enigt folketing stemmer for en lov, som forbyder “jomfruhinde kirugi” og selv samme folketing tør ikke indfører en mindstealder for omskæring. Det er diskrimination og helt urimelig forskelsbehandling af drenge og piger #dkpol",[ 1.1246185  -0.36073205 -0.55641013],[0.70791185 0.16028748 0.1318007 ]
40,negative,negative,TRUE,"@USER @USER Det er så pinlig en sag at det er helt vildt! De har fordrejet sandheden i en absurd grad og nu vil de blande sig i ledelsen af skolen? Hvad sker der for dem? Den centraliserende og autoritære tankegang der har udviklet sig er kvalmende, det må da være helt op til skolen!",[ 1.1226716  -0.36221194 -0.54518026],[0.70662355 0.16007054 0.13330586]
41,neutral,positive,MISS,"Aktieinvesteringer giver erhvervslivet mulighed for at vokse og skabe arbejdspladser. Det er til gavn for hele DK. Deltag og hør mere den 3. maj: ""Børsforum: Et aktiemarked for de mange - ikke for de få”. [LINK] #flerebørsnoteringer @USER @USER Cph",[-0.8116424   0.46207613  0.44067314],[0.12387654 0.44274947 0.433374  ]
42,positive,positive,TRUE,"@USER Jeg synes det er fremragende at du saver United over podcast efter podcast for derefter at blive kaldt United liderlig 😂😂😂
Og ham der synes Monnerup taler og taler har vist aldrig hørt en podcast med Hebo 🤪",[-0.04205785 -0.07725891  0.12781152],[0.31740376 0.30642518 0.37617105]
