,Predicted Labels,True Labels,Misclassification,Text,Logit Values,Probabilities
0,positive,neutral,MISS,"Ville være fantastisk, meeeen....",[-3.0081007 -2.5726976  6.6348343],[6.4871652e-05 1.0026469e-04 9.9983490e-01]
1,positive,positive,TRUE,"Jeg🤞🏼 for, at #skolechat og de nationale test kommer til at fylde i valgkampen. Det bør være en folkelig debat. Og anbefaler dette interview med @USER, der var undervisningsminister, da de nationale test blev besluttet",[-3.1255043 -1.9804323  6.1238914],[9.6131487e-05 3.0210929e-04 9.9960178e-01]
2,neutral,neutral,TRUE,FHK-kæmpe skal ikke med i ligaen: Får ikke forlænget sin aftale,[-3.312301   6.149402  -2.7300537],[7.7757133e-05 9.9978310e-01 1.3918974e-04]
3,neutral,neutral,TRUE,Softwarestartup rejser 91 millioner til ekspansion og udbredning af platform,[-3.5576     5.304218  -1.6290834],[1.4153915e-04 9.9888474e-01 9.7369071e-04]
4,negative,negative,TRUE,"Er det ikke en lidt paranoid opfattelse? Hvad med Margaret Thatcher, Angela Merkel og Theresa May? Der er da ingen som taler om deres mænd?",[ 4.0444646 -0.5616973 -2.3652303],[0.98849815 0.00987518 0.0016266 ]
5,neutral,neutral,TRUE,Landmænd har ventet flere år på støtte: Udflytning har bremset millioner til landbruget (Dette er en plus-artikel),[-0.6574785   1.1619138  -0.12881358],[0.11280604 0.6957998  0.1913941 ]
6,positive,positive,TRUE,Kim var fantastisk fagligt og en god nabo. Jeg havde meget god sparring med ham vedr HPV. Og var glad fordi han sagde ja til at deltage. Savner ham,[-3.1555254 -2.5205135  6.780669 ],[4.838435e-05 9.130341e-05 9.998603e-01]
7,negative,negative,TRUE,"Når man mener det er helt OK at komme med homofobiske tilråb under en fodboldkamp, er det vel også på sin plads med en ordentlig mandeslåskamp efter kampen....

Der findes mænd der ALDRIG kommer ud over stenalderstadiet..",[ 1.1131558  -0.5480925   0.08040343],[0.64686084 0.12284002 0.2302991 ]
8,negative,negative,TRUE,Saudierne er mestre i at manipulere de globale medier. Læs min seneste i @USER: #SaudiArabien #Dkmedier #dkpol,[ 4.2591643  -0.03213755 -2.8583372 ],[9.8570931e-01 1.3491499e-02 7.9920347e-04]
9,positive,negative,MISS,"Er det et godt tegn, når man som fodboldspiller har fuldt fokus på ikke at blive skadet? #sldk",[-2.3253438   0.24976714  2.671447  ],[0.00617016 0.08103128 0.9127986 ]
10,negative,neutral,MISS,"BPA er verdens bedste kompensationsordning. Men den kan kun fungere, hvis de borgere der ønsker det, kan overdrage deres arbejdsgiveansvar. Den ret udhules fuldstændig, når kommunerne presser adm.bidraget i bund #dkpol @USER
[LINK]",[ 5.8202744 -1.5924684 -2.9153183],[9.9923623e-01 6.0305226e-04 1.6063804e-04]
11,neutral,positive,MISS,"Ny opgørelse viser, at det i høj grad er TV 2-kanalerne, der har skruet op for produktionen af ny dansk tv-fiktion #dkmedier",[-2.5593073   2.8295472  -0.10173164],[0.00431725 0.94527256 0.05041026]
12,neutral,negative,MISS,"tbh Jeg antager altid, at de fleste lande uden af Europa er farlige, for folk som mig. Det er mere sikker, end at antage det modsatte.",[-2.2996607  4.884746  -2.3343027],[7.5718999e-04 9.9851137e-01 7.3140865e-04]
13,negative,negative,TRUE,"Det fortæller jo alt, DF byder nazilignende tilstande velkommen i folketinget.

Håber ikke at det overrasker nogen.

#dkpol",[ 4.230603    0.03191429 -3.0013232 ],[9.8450547e-01 1.4782596e-02 7.1192195e-04]
14,neutral,neutral,TRUE,"pinen er udsat til imorgen, det er en større omgang jeg er igennem.",[-3.3836641  6.002988  -2.462312 ],[8.3810985e-05 9.9970561e-01 2.1059073e-04]
15,positive,positive,TRUE,"Sikkert nok, og du har ret i, at der ""altid"" er mange Brøndby-folk med i Odense. Men den fine kulisse i dag skyldes også et pænt Odense-fremmøde.",[-2.9875705 -1.6873357  5.6998   ],[1.6857026e-04 6.1867962e-04 9.9921274e-01]
16,negative,negative,TRUE,"Ligesom meget andet i livet så er der vel sagtens både gode, dårlige, indholdsrige, og uinteressante pressemøder - men I journalister bliver vel betalt for det ... Det er jeres arbejde eller ??",[ 6.681695  -2.3359213 -2.9064052],[9.9981028e-01 1.2123182e-04 6.8526489e-05]
17,neutral,neutral,TRUE,Blågårdsgade 2. Look for Sasaa at Facebook,[-3.3662412   4.5173554  -0.98833245],[3.7520914e-04 9.9557918e-01 4.0456285e-03]
18,neutral,positive,MISS,"DAT fejrer 30 år med fly Det er i dag 30 år siden, at Kirsten og Jesper Rungholm lettede med deres første fly. I dag råder de over 22 fly og har mere end 500 ansatte.",[-2.733943   3.90451   -0.9974501],[0.00129771 0.99133474 0.0073676 ]
19,positive,positive,TRUE,"Sommerferien går til Montenegro. Er du sådan én, der har gode tips til det land, så vil jeg herre mega gerne have dem ☺️",[-3.0802214 -2.7262547  6.881864 ],[4.7148893e-05 6.7173394e-05 9.9988568e-01]
