,Predicted Labels,True Labels,Misclassification,Text,Logit Values,Probabilities
0,positive,neutral,MISS,"Ville være fantastisk, meeeen....",[-2.9540956 -3.4701054  7.0338087],[4.5949026e-05 2.7426871e-05 9.9992657e-01]
1,positive,positive,TRUE,"Jeg🤞🏼 for, at #skolechat og de nationale test kommer til at fylde i valgkampen. Det bør være en folkelig debat. Og anbefaler dette interview med @USER, der var undervisningsminister, da de nationale test blev besluttet",[-4.501538  -1.2360121  6.1028395],[2.479045e-05 6.493583e-04 9.993259e-01]
2,neutral,neutral,TRUE,FHK-kæmpe skal ikke med i ligaen: Får ikke forlænget sin aftale,[-2.3472311  3.7370956 -2.1246238],[0.00226668 0.9949014  0.00283183]
3,neutral,neutral,TRUE,Softwarestartup rejser 91 millioner til ekspansion og udbredning af platform,[-3.6254632  3.150043   0.2059311],[0.00108313 0.9489555  0.04996137]
4,negative,negative,TRUE,"Er det ikke en lidt paranoid opfattelse? Hvad med Margaret Thatcher, Angela Merkel og Theresa May? Der er da ingen som taler om deres mænd?",[ 6.688529  -2.7733305 -4.2407246],[9.9990439e-01 7.7754405e-05 1.7924373e-05]
5,negative,neutral,MISS,Landmænd har ventet flere år på støtte: Udflytning har bremset millioner til landbruget (Dette er en plus-artikel),[ 4.2101555 -1.0408033 -3.4728675],[9.9432927e-01 5.2127601e-03 4.5796865e-04]
6,positive,positive,TRUE,Kim var fantastisk fagligt og en god nabo. Jeg havde meget god sparring med ham vedr HPV. Og var glad fordi han sagde ja til at deltage. Savner ham,[-2.9691017 -4.2421536  7.942561 ],[1.8243780e-05 5.1078164e-06 9.9997663e-01]
7,negative,negative,TRUE,"Når man mener det er helt OK at komme med homofobiske tilråb under en fodboldkamp, er det vel også på sin plads med en ordentlig mandeslåskamp efter kampen....

Der findes mænd der ALDRIG kommer ud over stenalderstadiet..",[ 7.350661 -3.609833 -4.013504],[9.9997103e-01 1.7374221e-05 1.1603621e-05]
8,negative,negative,TRUE,Saudierne er mestre i at manipulere de globale medier. Læs min seneste i @USER: #SaudiArabien #Dkmedier #dkpol,[ 6.0489926 -3.5104806 -2.5015466],[9.9973601e-01 7.0511342e-05 1.9338974e-04]
9,positive,negative,MISS,"Er det et godt tegn, når man som fodboldspiller har fuldt fokus på ikke at blive skadet? #sldk",[-4.088616  -1.9967437  6.4364247],[2.6848920e-05 2.1747802e-04 9.9975568e-01]
10,negative,neutral,MISS,"BPA er verdens bedste kompensationsordning. Men den kan kun fungere, hvis de borgere der ønsker det, kan overdrage deres arbejdsgiveansvar. Den ret udhules fuldstændig, når kommunerne presser adm.bidraget i bund #dkpol @USER
[LINK]",[ 5.071894  -2.6512713 -2.6086004],[9.9909663e-01 4.4205808e-04 4.6132944e-04]
