,Predicted Labels,True Labels,Misclassification,Text,Logit Values,Probabilities
0,neutral,neutral,TRUE,"Ville være fantastisk, meeeen....",[-4.438061    2.614953    0.58337766],[7.639604e-04 8.833973e-01 1.158388e-01]
1,positive,positive,TRUE,"Jeg🤞🏼 for, at #skolechat og de nationale test kommer til at fylde i valgkampen. Det bør være en folkelig debat. Og anbefaler dette interview med @USER, der var undervisningsminister, da de nationale test blev besluttet",[-5.9037123 -2.2388446  6.832475 ],[2.9423413e-06 1.1490125e-04 9.9988210e-01]
2,neutral,neutral,TRUE,FHK-kæmpe skal ikke med i ligaen: Får ikke forlænget sin aftale,[-4.1735024  9.452968  -6.000537 ],[1.2080875e-06 9.9999857e-01 1.9436926e-07]
3,positive,neutral,MISS,Softwarestartup rejser 91 millioner til ekspansion og udbredning af platform,[-7.0207334 -1.2115206  6.7459126],[1.0497101e-06 3.4992764e-04 9.9964905e-01]
4,negative,negative,TRUE,"Er det ikke en lidt paranoid opfattelse? Hvad med Margaret Thatcher, Angela Merkel og Theresa May? Der er da ingen som taler om deres mænd?",[ 9.170743  -2.025865  -6.5723033],[9.9998617e-01 1.3720473e-05 1.4550437e-07]
5,neutral,neutral,TRUE,Landmænd har ventet flere år på støtte: Udflytning har bremset millioner til landbruget (Dette er en plus-artikel),[-4.8652105  8.906578  -4.788623 ],[1.0446895e-06 9.9999785e-01 1.1278437e-06]
6,positive,positive,TRUE,Kim var fantastisk fagligt og en god nabo. Jeg havde meget god sparring med ham vedr HPV. Og var glad fordi han sagde ja til at deltage. Savner ham,[-5.4905972 -4.8961244  9.453977 ],[3.2333551e-07 5.8590837e-07 9.9999905e-01]
7,neutral,negative,MISS,"Når man mener det er helt OK at komme med homofobiske tilråb under en fodboldkamp, er det vel også på sin plads med en ordentlig mandeslåskamp efter kampen....

Der findes mænd der ALDRIG kommer ud over stenalderstadiet..",[-4.3992705  7.3934517 -3.97303  ],[7.5592261e-06 9.9998093e-01 1.1576876e-05]
8,negative,negative,TRUE,Saudierne er mestre i at manipulere de globale medier. Læs min seneste i @USER: #SaudiArabien #Dkmedier #dkpol,[ 7.301021  -5.212388  -1.2000692],[9.9979311e-01 3.6762565e-06 2.0320465e-04]
9,positive,negative,MISS,"Er det et godt tegn, når man som fodboldspiller har fuldt fokus på ikke at blive skadet? #sldk",[-6.3032837 -3.7169762  8.980792 ],[2.3025486e-07 3.0579324e-06 9.9999666e-01]
10,negative,neutral,MISS,"BPA er verdens bedste kompensationsordning. Men den kan kun fungere, hvis de borgere der ønsker det, kan overdrage deres arbejdsgiveansvar. Den ret udhules fuldstændig, når kommunerne presser adm.bidraget i bund #dkpol @USER
[LINK]",[10.478442  -4.9482656 -4.1916428],[9.9999928e-01 1.9964823e-07 4.2546392e-07]
11,neutral,positive,MISS,"Ny opgørelse viser, at det i høj grad er TV 2-kanalerne, der har skruet op for produktionen af ny dansk tv-fiktion #dkmedier",[-5.459134   9.256019  -4.8247843],[4.0671475e-07 9.9999893e-01 7.6698092e-07]
12,neutral,negative,MISS,"tbh Jeg antager altid, at de fleste lande uden af Europa er farlige, for folk som mig. Det er mere sikker, end at antage det modsatte.",[-4.7249393  8.58497   -4.1380534],[1.6579735e-06 9.9999535e-01 2.9816640e-06]
13,negative,negative,TRUE,"Det fortæller jo alt, DF byder nazilignende tilstande velkommen i folketinget.

Håber ikke at det overrasker nogen.

#dkpol",[ 8.476808  -3.0792708 -3.8093946],[9.9998581e-01 9.5775185e-06 4.6149171e-06]
14,negative,neutral,MISS,"pinen er udsat til imorgen, det er en større omgang jeg er igennem.",[ 9.27786  -4.980528 -3.374342],[9.9999619e-01 6.4218381e-07 3.2004937e-06]
15,positive,positive,TRUE,"Sikkert nok, og du har ret i, at der ""altid"" er mange Brøndby-folk med i Odense. Men den fine kulisse i dag skyldes også et pænt Odense-fremmøde.",[-6.116493 -3.996211  8.875918],[3.0823156e-07 2.5686445e-06 9.9999714e-01]
16,negative,negative,TRUE,"Ligesom meget andet i livet så er der vel sagtens både gode, dårlige, indholdsrige, og uinteressante pressemøder - men I journalister bliver vel betalt for det ... Det er jeres arbejde eller ??",[10.294549 -4.610024 -4.632718],[9.9999928e-01 3.3653149e-07 3.2898038e-07]
17,neutral,neutral,TRUE,Blågårdsgade 2. Look for Sasaa at Facebook,[-5.8857455  7.717708  -3.520815 ],[1.2362005e-06 9.9998569e-01 1.3157248e-05]
18,neutral,positive,MISS,"DAT fejrer 30 år med fly Det er i dag 30 år siden, at Kirsten og Jesper Rungholm lettede med deres første fly. I dag råder de over 22 fly og har mere end 500 ansatte.",[-7.4658694  6.005206  -1.1424725],[1.4100818e-06 9.9921250e-01 7.8606885e-04]
19,positive,positive,TRUE,"Sommerferien går til Montenegro. Er du sådan én, der har gode tips til det land, så vil jeg herre mega gerne have dem ☺️",[-6.7933254 -3.022266   8.163917 ],[3.1926123e-07 1.3864261e-05 9.9998581e-01]
20,neutral,neutral,TRUE,"Og nej, det er ikke passivt.",[-4.0576153  7.1883426 -3.8673952],[1.3059596e-05 9.9997103e-01 1.5795798e-05]
21,negative,negative,TRUE,"I at straffe to klubber for et problem, der veldokumenteret går på tværs af alle klubber. Det er en pop-reaktion, efter at de ikke har taget deres ansvar seriøst. Og det er problemet med DBU og især disciplinærudvalget. At de altid kun har moral, nær det er billigt og opportunt.",[10.668063  -4.6885176 -4.5693345],[9.9999952e-01 2.1415170e-07 2.4125805e-07]
22,neutral,neutral,TRUE,Kræft øger risiko for andre sygdomme senere i livet,[-4.1433663  5.9843173 -3.4042814],[3.995298e-05 9.998764e-01 8.366231e-05]
23,negative,negative,TRUE,"Hold nu op. Dansk Folkeparti vil ikke ud af EU. Partiet ønsker bare ikke, den danske befolkning får indflydelse. Det var tydeligt i 2015, hvor partiet argumenterede for, den ønskede tilvalgsordning ikke krævede en folkeafstemning, og var imod det, befolkningen ville have gavn af.",[10.208338  -3.8813772 -5.256534 ],[9.9999905e-01 7.6017591e-07 1.9217234e-07]
