,text,label,tweets
0,det er netop nu den skal tages for hvem er det der betaler for vores stemme hvad er det vi ikke må vide dkpol partistøtte link,negative,netop tages betaler stemme vide dkpol partistøtte
1,selv har jeg helt opgivet at debatere kommentere på noget som helst på facebook,negative,opgivet debatere kommentere helst facebook
2,men forstår nu godt frustrationen men hold op hvor er der sjældent dommerens skyld man taber det er meget meget ofte ens egen skyld men det er så dejligt at skyde skylden på noget andet hvad er det man kalder det,negative,forstår frustrationen hold sjældent dommerens skyld taber ofte skyld dejligt skyde skylden kalder
3,jamen det er da mig men det er da kun dejligt at politik ikke fylder alt for meget ude i virksomhederne,positive,jamen dejligt politik fylder ude virksomhederne
4,ja han løber de unge gutter op,positive,løber unge gutter
5,en delegation fra ps er lige nu til quality en konference om patientsikkerhed med mere end deltagere fra forskellige lande formand har netop været på scenen for at invitere alle til danmark næste år når quality afholdes i københavn sundpol link,neutral,delegation ps quality konference patientsikkerhed deltagere forskellige lande formand netop scenen invitere danmark år quality afholdes københavn sundpol
6,i sidste uge besøg af user og user i mit lægehus i sønderborg vi fortalte om travlhed og extraopgaver hos user men også om givende arbejdsliv ministeren viste stor indsigt og vilje til at satse på almen praksis sundpol link,neutral,sidste uge besøg lægehus sønderborg fortalte travlhed extraopgaver givende arbejdsliv ministeren viste indsigt vilje satse almen praksis sundpol
7,det er ikke så tit eller nærmere yderst yderst sjældent at der er nogle der tegner mig ham her skal sku nok bliver stor link,positive,nærmere yderst yderst sjældent tegner sku
8,praksis nu er netop ikke t uge i den nuværende seniorførtidspensionsordning ankestyrelsen har jo rettet deres praksis i slutningen af marts det betyder m a o at hvis man ikke kan passe et fleksjob indenfor sit fagområde så skal man have tilbudt seniorførtidspension,negative,praksis netop t uge nuværende seniorførtidspensionsordning ankestyrelsen rettet praksis slutningen marts betyder m a o passe fleksjob indenfor fagområde tilbudt seniorførtidspension
9,regeringens strategi er at gøre det til et udlændinge valg ved at konkurrere om hvem der kan have den mest højrepopulistiske radikale udlændingepolitik venstrefløjens opgave må være at få valget til at handle om økonomi finans velfærd og klima,neutral,regeringens strategi udlændinge valg konkurrere højrepopulistiske radikale udlændingepolitik venstrefløjens opgave valget handle økonomi finans velfærd klima
10,kangen agger link,neutral,kangen agger
11,så er det nu i aften går det løs med tredje finalekamp og hvidovre er tvunget til at vinde hvis gulddrømmen skal holdes i live kampstart kl i kildeskovshallen i gentofte kom så link,positive,aften går løs tredje finalekamp hvidovre tvunget vinde gulddrømmen holdes live kampstart kl kildeskovshallen gentofte
12,bliver telefonen stjålet kan de købe varer uden at åbne mobilen,neutral,telefonen stjålet købe varer åbne mobilen
13,df vil vist melde danmark ud af menneskerettighedskonventionen emrk og dermed også af eu er det ikke nemmere df en gang for alle melder sig ud af virkeligheden og af danmark dkpol eupol ruleoflaw,negative,df vist melde danmark menneskerettighedskonventionen emrk eu nemmere df gang melder virkeligheden danmark dkpol eupol ruleoflaw
14,alright aner ikke hvem det er jeg træder ingen over tæerne,neutral,alright aner træder tæerne
15,enig med michael bed dem tjekke om deres maskine står i vater både foran bag og sidelæns hvis den er mindre end år gammel er det at centrifugen ryster i af tilfælderne årsagen,neutral,enig michael bed tjekke maskine står vater både sidelæns år gammel centrifugen ryster tilfælderne årsagen
16,det ved vi jo reelt ikke det er i hvert fald set masser af gange før ja det forsøger de vel også det ville jo faktisk være ganske nemt hvis der ikke var tossede grupperinger der lod deres neandertal hjerne bestemme,neutral,reelt hvert fald set masser gange forsøger vel faktisk ganske nemt tossede grupperinger lod neandertal hjerne bestemme
17,måske bytter de jobs link,neutral,bytter jobs
18,når jeg finder denne grail på får jeg den rammet ind og hængt op i min lejlighed kæmpe rubrik fra link,positive,finder grail rammet hængt lejlighed kæmpe rubrik
19,det sidste denne debat har brug for er flere hurtige regnestykker lad os høre fra dig når du har regnet det ordentligt igennem tak link,neutral,sidste debat brug hurtige regnestykker høre regnet ordentligt tak
20,hvis det er faktuelt forkert hvorfor understreger oie så vigtigheden i rensningen af transportfaciliteter specifikt ift svinepest det ville jo være ligegyldigt link,negative,faktuelt forkert understreger oie vigtigheden rensningen transportfaciliteter specifikt ift svinepest ligegyldigt
21,fedt link meget stilen,neutral,fedt stilen
22,the week ahead starting with ash class trip link,neutral,the week ahead starting with ash class trip
23,hvor mange af dem vandt egentlig,neutral,vandt egentlig
24,et ægtepar i kruså er i tvivl om hvorvidt grænsekontrol er fornuftig brug af politiets ressourcer det er inger støjberg ikke hvorfor er der ingen som spørger efter en saglig og faglig vurdering af effektiviteten link dkpol eudk,negative,ægtepar kruså tvivl hvorvidt grænsekontrol fornuftig brug politiets ressourcer inger støjberg spørger saglig faglig vurdering effektiviteten dkpol eudk
25,utilfredse kunder og forsinkelser bornholmerfærgens nye ejer får kæmpe bøde på mio kr link link,neutral,utilfredse kunder forsinkelser bornholmerfærgens nye ejer kæmpe bøde mio kr
26,classy måde at skrive gangbang jegfinderselvud,negative,classy måde skrive gangbang jegfinderselvud
27,vores elektronista samarbejde med vifa viser at efter en årrække er sort tilbage som højtaler farve men på den lækre måde synes jeg faktisk eller hvad sponsoreret link,neutral,elektronista samarbejde vifa viser årrække sort højtaler farve lækre måde faktisk sponsoreret
28,jeg er meget fortrøstningsfuld kloge mennesker har meldt ud at vi er klar den maj det tror jeg på link,positive,fortrøstningsfuld kloge mennesker meldt klar maj tror
29,hvad har screenshots indlandsisen og billedhugger hanne varming tilfælles de er alle med i en spritny kunstguide der denne uge lægger vejen forbi nikolaj kunsthal galleri image viborg kunsthal johannes larsen museet gammelgaard kunst og link,positive,screenshots indlandsisen billedhugger hanne varming tilfælles spritny kunstguide uge lægger vejen forbi nikolaj kunsthal galleri image viborg kunsthal johannes larsen museet gammelgaard kunst
30,helt enig det er bare lidt som en banana split uden chokoladesauce smager fint men mangler lige prikken over i et,positive,enig banana split chokoladesauce smager fint mangler prikken
31,jeg er her til aften blevet genvalgt til folketingskandidat for i næstved det er år i træk tusind tak for opbakningen jeg er så stolt og ydmyg over de mange frivillige medlemmer dkpol link,positive,aften blevet genvalgt folketingskandidat næstved år træk tusind tak opbakningen stolt ydmyg frivillige medlemmer dkpol
32,her er en mulighed for en vigtig debat om arbejdsmiljø og om pensionsalder ringsted på mandag ses vi link,neutral,mulighed vigtig debat arbejdsmiljø pensionsalder ringsted mandag
33,milan prutter om prisen på chelsea flop link pldk,neutral,milan prutter prisen chelsea flop pldk
34,tør du altså få en farve på væggen det er der nemlig ikke mange der tør kaste sig ud i selvom det vil være godt for os mener lokal boligindretter læs hvorfor hun har den holdning link,positive,tør altså farve væggen tør kaste mener lokal boligindretter læs holdning
35,hehe sandt synes faktisk generelt det er en meget fin gratis lokalavis især når man er tilflytter og som udgangspunkt ikke aner hvad fanden der sker her i byen,positive,hehe sandt faktisk generelt fin gratis lokalavis især tilflytter udgangspunkt aner fanden sker byen
36,hej rasmus håber du vil læse vores historier igen inden vores interview senere i dag vi skelner meget klart mellem undersøgelseskomit en og bestyrelsen og skriver at sidstnævnte afviste konklusionerne om lovbrud,neutral,rasmus håber læse historier inden interview dag skelner klart undersøgelseskomit bestyrelsen skriver sidstnævnte afviste konklusionerne lovbrud
37,alarmisme er absolut et fænomen se bare på retorikken op til militære interventioner fx irak men ift klimaudfordringen så ser jeg ikke alarmisme som problemet tværtimod med mindre man anser ipcc for at være galt afmarcheret og det gør jeg i det store hele ikke,neutral,alarmisme absolut fænomen retorikken militære interventioner irak ift klimaudfordringen alarmisme problemet tværtimod anser ipcc galt afmarcheret hele
38,forstår ikke hvad du mener,neutral,forstår mener
39,kommunen køber ti hektar jord til muligt datacenter i varde link,neutral,kommunen køber hektar jord muligt datacenter varde
40,fokus på psykisksygdom fakler blev tændt for at bryde tabu link link,neutral,fokus psykisksygdom fakler tændt bryde tabu
41,så prøv at optælle hvor mange der er døde i kampe for demokratiet fordi soldater går i krig for demokratiet betyder det jo ikke at jeg som demokrat også vil gøre det på samme måde muslimer ikke alle muslimer ser det som en politisk sag at begå mord fordi en lille gruppe gør,negative,prøv optælle døde kampe demokratiet soldater går krig demokratiet betyder demokrat måde muslimer muslimer politisk sag begå mord gruppe
42,det må jo være fraregnet lordbendtner link,neutral,fraregnet lordbendtner
43,mere om at sætte lighedstegn mellem alderdom og dårlig opførsel user user user alderdom ghita link,neutral,sætte lighedstegn alderdom dårlig opførsel alderdom ghita
44,ja der er en grund til at man fx fra elitedommer gruppen anbefaler dommerne ikke at udtale sig i timer efter kampen som jeg har skrevet har jeg forståelse for at pulsen er høj men historien viser at det ikke er umuligt at udtale sig kritisk på en saglig måde,neutral,grund elitedommer gruppen anbefaler dommerne udtale timer kampen skrevet forståelse pulsen høj historien viser umuligt udtale kritisk saglig måde
45,mest læste seneste uge stine bosse med paradigmeskiftet skulle fokus flyttes fra inklusion til hjemsendelse nu ser vi fortsættelsen gratis at læse link dkpol link,neutral,læste seneste uge stine bosse paradigmeskiftet fokus flyttes inklusion hjemsendelse fortsættelsen gratis læse dkpol
46,det er nok en nem opgave hvis den formelt uafhængige bestyrelse ikke har nogen rygrad til at træffe sine egne beslutninger en tendens som desværre ses mere og mere i samfundet,negative,nem opgave formelt uafhængige bestyrelse rygrad træffe egne beslutninger tendens desværre samfundet
47,jeg har fået ny telefon og indtil videre bryder jeg mig slet ikke om det jeg er nået frem til at jeg synes vi skal stoppe teknologisk udvikling vi er nået langt nok nu så lad det bare være det er fint nok,negative,fået telefon videre bryder slet nået frem stoppe teknologisk udvikling nået langt fint
48,gurli octavia s nye ep metanoia er en knugende oplevelse men det er samtidig også en flot eksekveret udgivelse jonnas har lyttet og anmeldt link link,positive,gurli octavia s nye ep metanoia knugende oplevelse samtidig flot eksekveret udgivelse jonnas lyttet anmeldt
49,hey tænker i til en anden gang ku tage lidt ved lære af jeres kollegaer på vestegnen når folk kun er interesseret i at ta politi amp ytringsfrihed som gidsler i et bevidst forsøg på at skabe kaos så lad dem gøre det fra mors kælder ik i vores gader dkpol link,negative,hey tænker gang ku lære kollegaer vestegnen folk interesseret ta politi amp ytringsfrihed gidsler bevidst forsøg skabe kaos mors kælder ik gader dkpol
50,den her ventetid er roma den må bare ikke vinde over oscardk,neutral,ventetid roma vinde oscardk
51,god valgkampsstart vi ses derude,positive,valgkampsstart derude
52,rt this what i mean you do not have to straighten your natural hair for prom look at this glory link,positive,this what mean you do not straighten your natural hair prom look this glory
53,rt en lille arbejdshest lytter til maj tale hos f i kastrup dkpol link,neutral,arbejdshest lytter maj tale f kastrup dkpol
54,gt for det tredje naturligvis er der ingen der ønsker at klamme typer skal sidde og glo på vores børn jeg er ikke afklaret med løsningen men jeg er bekymret for de meget voldsomme aktioner vi ser generelle forbud som her eller youtubes lukning af kommentarspor for nylig gt,negative,gt tredje naturligvis ønsker klamme typer sidde glo børn afklaret løsningen bekymret voldsomme aktioner generelle forbud youtubes lukning kommentarspor nylig gt
55,der er kun værelsesnummer men heldigvis ingen adresse jeg kom hjem kl hvor jeg stadig havde dem så gik jeg ud og lavede mad også er det engang efter jeg fik lavet mad at de forsvandt så enten har jeg lagt dem i køkkenet og glemt det virker underligt dog,neutral,værelsesnummer heldigvis adresse hjem kl gik lavede mad engang mad forsvandt lagt køkkenet glemt virker underligt
56,hvis du ikke forstår forskellen står du tilbage med en rød regering og dit parti uden indflydelse overhovedet dkpol link,negative,forstår forskellen står rød regering parti indflydelse overhovedet dkpol
57,godt nyt for agf frederik tingager træner på græs link,positive,agf frederik tingager træner græs
58,hvis jeg ikke husker helt forkert startede de bilaterale forhandlinger med singapore i denmark eu singapore in your town trade european commission link,neutral,husker forkert startede bilaterale forhandlinger singapore denmark eu singapore in your town trade european commission
59,den største hurdle er at få sig selv til at slå på et andet menneske dette er en plus artikel link,neutral,største hurdle slå menneske plus artikel
60,fantastisk godt skrevet,positive,fantastisk skrevet
61,link en bilist havde taget sin nummerplade af og lagt den ind i bilen sammen med amfetamin og anabolske steroider nyheder til slagelse link,neutral,bilist taget nummerplade lagt bilen amfetamin anabolske steroider nyheder slagelse
62,man kan sige grimme ting om enhedslisten men ikke at at partiet er dumt morten østergaard ønskede en debat om indvandrere for at styrke sit eget parti fordi han er ligeglad med det sociale i danmark og mener at udlændinge er vigtigere end danskeres velfærd,negative,grimme ting enhedslisten partiet dumt morten østergaard ønskede debat indvandrere styrke eget parti ligeglad sociale danmark mener udlændinge vigtigere danskeres velfærd
63,øh det tror jeg bliver svært populismen og overbuds politik er hvad det her er hvis man ikke kan fjerne folk der brænder romerlys under kampe hvordan vil man så gøre det andet,negative,øh tror svært populismen overbuds politik fjerne folk brænder romerlys kampe
64,kineserne er vilde med nordjysk grøn teknologi kan give hundredvis af nye arbejdspladser link link,positive,kineserne vilde nordjysk grøn teknologi give hundredvis nye arbejdspladser
65,dyche jeg kan ikke tage al æren for burnley succes link pldk,neutral,dyche al æren burnley succes pldk
66,rising festival klar med kunstnere rising festival der bliver afviklet og juni på benmel i nexø er klar med det fulde program for festivallen hvor kun nye kunstnere spiller link,positive,rising festival klar kunstnere rising festival afviklet juni benmel nexø klar fulde program festivallen nye kunstnere spiller
67,link har man undladt eller forsinket kontrollen med bankerne fordi de har ydet støtte til de borgerlige partier claus bryld dkpol bekæmpfattigdomnu,negative,undladt forsinket kontrollen bankerne ydet støtte borgerlige partier claus bryld dkpol bekæmpfattigdomnu
68,rt og husk så far og mor det var nazisme det handlede om kke tyskere dkpol link,negative,husk mor nazisme handlede kke tyskere dkpol
69,forskellen er lille og forsvinder med kontrolvariablen ressourcer da n gruppe lærere i et af de andre fire studier fik mere tid med klassen og dermed mindre arbejdspres blev modviljen mod at inkludere et barn med et mellemøstligt navn næsten elimineret,neutral,forskellen forsvinder kontrolvariablen ressourcer n gruppe lærere studier tid klassen arbejdspres modviljen inkludere barn mellemøstligt navn elimineret
70,lækre detaljer i brilleetuier og pudseklude link,positive,lækre detaljer brilleetuier pudseklude
71,det er en del af planen,positive,del planen
72,tak vi får alt for lidt og alt for useriøs formidling af eu stof i lyset af hvor meget eu efterhånden bestemmer dkpol vs eudk dkmedier kom så igang,negative,tak useriøs formidling eu stof lyset eu efterhånden bestemmer dkpol vs eudk dkmedier igang
73,han bliver omtalt som gårdens maskot af de andre beboere,positive,omtalt gårdens maskot beboere
74,det er en meget venlig diagnose næste gang han anmelder en demo synes jeg skulle sende ham et nummer til distriktspsykiatrien,positive,venlig diagnose gang anmelder demo sende nummer distriktspsykiatrien
75,hjerte ven er vi blevet kære ren setling tusind tak fordi du støtter mig og alt den hjælp sammen med din skønne kone maybrit det er utrolig dejligt at mærke at der er nogen der tænker på en jeg skal nok komme over den f b kræft og komme på link,positive,hjerte ven blevet kære ren setling tusind tak støtter hjælp skønne kone maybrit utrolig dejligt mærke tænker f b kræft
76,fortalerne for en stram udlændingepolitik kan takke sig selv for rasmus paludan hver gang man rykker hegnspælene mod højre udviser man kredsen vildt at pernille vermund nu fremstår fornuftig dkpol,negative,fortalerne stram udlændingepolitik takke rasmus paludan gang rykker hegnspælene højre udviser kredsen vildt pernille vermund fremstår fornuftig dkpol
77,det er intressant at flere skriver deler pga så skylder man ikke noget præcis sådan jeg har det jeg dater ikke men det med at skylde så skal man gå med manden hjem og gice det man skylder så en deler,neutral,intressant skriver deler pga skylder præcis dater skylde gå manden hjem gice skylder deler
78,rt olieindustrien bruger milliarder på at obstruere den globale klimapolitik dkgreen link,negative,olieindustrien bruger milliarder obstruere globale klimapolitik dkgreen
79,journalistik der fører til handling link,positive,journalistik fører handling
80,chr hansens vækst skuffer link link,negative,chr hansens vækst skuffer
81,det er jo lige før den må ha et navn i livetsomarkæolog link,neutral,ha navn livetsomarkæolog
82,uanset om data fra nationale test i skolen er biased eller blot fejlbehæftede lader det til at i dk ruller man fx bare learning analytics ud med så meget data som muligt uden etikforbehold andre lande gav udtryk for i interviews ny strategi link,negative,uanset data nationale test skolen biased blot fejlbehæftede lader dk ruller learning analytics data muligt etikforbehold lande gav udtryk interviews strategi
83,e mail markedsføring for eksisterende kunder det er vigtigt at i gør jeres kunder opmærksomme på at i stadig er der det kan bl a være en påmindelse om service eller andre spændende tilbud der skal sendes link,neutral,e mail markedsføring eksisterende kunder vigtigt kunder opmærksomme bl a påmindelse service spændende tilbud sendes
84,tankevækkende artikel enig i at venstrefløjen skal oppe sig og i langt højere grad bør gide at debattere med racisterne i stedet for at erklære sig moralsk overlegne på den anden side er det lidt arrogant at formode at intellektuel nævekamp er vejen frem link,neutral,tankevækkende artikel enig venstrefløjen oppe langt højere grad gide debattere racisterne stedet erklære moralsk overlegne side arrogant formode intellektuel nævekamp vejen frem
85,nå jeg kan se slet ikke evner at stoppe liveoptagelsen fra christchurchmosqueattack i at cirkulere for ikke at tale om ser bedre ud terroristen havde tydeligvis en mediestrategi og techgiganterne hjælper til i de her timer link,negative,nå slet evner stoppe liveoptagelsen christchurchmosqueattack cirkulere tale bedre terroristen tydeligvis mediestrategi techgiganterne hjælper timer
86,hvordan kommer vi stress og mistrivsel blandt studerende til livs ida simone micky og magnus var i fredags til kaffe hos for at fortælle om deres gode forslag tak til dem og drs nyhedsnetværk link uddpol link,positive,stress mistrivsel studerende livs ida simone micky magnus fredags kaffe fortælle gode forslag tak drs nyhedsnetværk uddpol
87,jeg tror ikke vi er så uenige men da min mor forlod arbejdsmarked efter år slidt ned til sokkeholderne kunne hun gå på efterløn det kan man ikke mere,neutral,tror uenige mor forlod arbejdsmarked år slidt sokkeholderne gå efterløn
88,at få elever til at vælge en håndværkeruddannelse kræver at de ser håndværksfagene som en attraktiv vej ind i et spændende arbejdsliv heldigvis er det ikke længere lavstatus at være håndværker link,positive,elever vælge håndværkeruddannelse kræver håndværksfagene attraktiv vej spændende arbejdsliv heldigvis lavstatus håndværker
89,millioner kroner til økologisk arealtilskud kan sikre økologisk areal på størrelse med fyn i link dkpol økologi dkfood dkgreen landbrug link,neutral,millioner kroner økologisk arealtilskud sikre økologisk areal størrelse fyn dkpol økologi dkfood dkgreen landbrug
