,Predicted Labels,True Labels,Misclassification,Text,Logit Values,Probabilities
0,positive,neutral,MISS,"Ville være fantastisk, meeeen....",[-2.2456803 -3.1471243  3.3052273],[0.00386284 0.00156825 0.99456894]
1,neutral,positive,MISS,"Jeg🤞🏼 for, at #skolechat og de nationale test kommer til at fylde i valgkampen. Det bør være en folkelig debat. Og anbefaler dette interview med @USER, der var undervisningsminister, da de nationale test blev besluttet",[-3.471677   3.5855825 -0.7001703],[8.4872259e-04 9.8558635e-01 1.3564878e-02]
2,neutral,neutral,TRUE,FHK-kæmpe skal ikke med i ligaen: Får ikke forlænget sin aftale,[-2.6371727  5.4338574 -1.9126761],[3.1216259e-04 9.9904364e-01 6.4420694e-04]
3,neutral,neutral,TRUE,Softwarestartup rejser 91 millioner til ekspansion og udbredning af platform,[-3.8064194  4.737725  -1.2960999],[1.9417876e-04 9.9741566e-01 2.3901181e-03]
4,neutral,negative,MISS,"Er det ikke en lidt paranoid opfattelse? Hvad med Margaret Thatcher, Angela Merkel og Theresa May? Der er da ingen som taler om deres mænd?",[ 1.272681   2.8060005 -2.466384 ],[0.1767625  0.81903476 0.00420276]
5,neutral,neutral,TRUE,Landmænd har ventet flere år på støtte: Udflytning har bremset millioner til landbruget (Dette er en plus-artikel),[-0.6184546  4.7916102 -2.3504848],[4.4479440e-03 9.9476516e-01 7.8695174e-04]
6,positive,positive,TRUE,Kim var fantastisk fagligt og en god nabo. Jeg havde meget god sparring med ham vedr HPV. Og var glad fordi han sagde ja til at deltage. Savner ham,[-1.9464955 -3.4919112  3.4175615],[4.6554287e-03 9.9264586e-04 9.9435186e-01]
7,negative,negative,TRUE,"Når man mener det er helt OK at komme med homofobiske tilråb under en fodboldkamp, er det vel også på sin plads med en ordentlig mandeslåskamp efter kampen....

Der findes mænd der ALDRIG kommer ud over stenalderstadiet..",[ 4.468618  -1.6220969 -1.8799095],[0.996003   0.00225474 0.00174233]
8,negative,negative,TRUE,Saudierne er mestre i at manipulere de globale medier. Læs min seneste i @USER: #SaudiArabien #Dkmedier #dkpol,[ 1.9238006  1.023748  -0.591595 ],[0.6723235  0.273332   0.05434453]
9,neutral,negative,MISS,"Er det et godt tegn, når man som fodboldspiller har fuldt fokus på ikke at blive skadet? #sldk",[-2.9373324  5.0193114 -1.5299177],[3.4970383e-04 9.9822158e-01 1.4286732e-03]
10,negative,neutral,MISS,"BPA er verdens bedste kompensationsordning. Men den kan kun fungere, hvis de borgere der ønsker det, kan overdrage deres arbejdsgiveansvar. Den ret udhules fuldstændig, når kommunerne presser adm.bidraget i bund #dkpol @USER
[LINK]",[ 4.453224  -1.722716  -1.7458518],[0.9959066  0.00207034 0.00202299]
11,neutral,positive,MISS,"Ny opgørelse viser, at det i høj grad er TV 2-kanalerne, der har skruet op for produktionen af ny dansk tv-fiktion #dkmedier",[-3.2368495  4.928404  -1.2896901],[2.8371837e-04 9.9772781e-01 1.9885120e-03]
12,neutral,negative,MISS,"tbh Jeg antager altid, at de fleste lande uden af Europa er farlige, for folk som mig. Det er mere sikker, end at antage det modsatte.",[-2.789057    3.8866403  -0.81302094],[0.00124826 0.9897466  0.00900507]
13,negative,negative,TRUE,"Det fortæller jo alt, DF byder nazilignende tilstande velkommen i folketinget.

Håber ikke at det overrasker nogen.

#dkpol",[ 4.393833  -1.6802834 -1.6708581],[0.9953961  0.00229108 0.00231278]
14,neutral,neutral,TRUE,"pinen er udsat til imorgen, det er en større omgang jeg er igennem.",[-2.1879852  5.1110353 -1.8129607],[6.7507999e-04 9.9834275e-01 9.8225998e-04]
15,positive,positive,TRUE,"Sikkert nok, og du har ret i, at der ""altid"" er mange Brøndby-folk med i Odense. Men den fine kulisse i dag skyldes også et pænt Odense-fremmøde.",[-2.1222823 -3.287753   3.3933132],[0.00400241 0.00124785 0.9947497 ]
16,negative,negative,TRUE,"Ligesom meget andet i livet så er der vel sagtens både gode, dårlige, indholdsrige, og uinteressante pressemøder - men I journalister bliver vel betalt for det ... Det er jeres arbejde eller ??",[ 4.4043536 -1.5630748 -1.8854442],[0.99560344 0.00254956 0.00184698]
17,neutral,neutral,TRUE,Blågårdsgade 2. Look for Sasaa at Facebook,[-2.5579956  5.649339  -1.9904077],[2.7244116e-04 9.9924695e-01 4.8058809e-04]
18,neutral,positive,MISS,"DAT fejrer 30 år med fly Det er i dag 30 år siden, at Kirsten og Jesper Rungholm lettede med deres første fly. I dag råder de over 22 fly og har mere end 500 ansatte.",[-3.3335612  4.5317807 -1.2138664],[3.8244858e-04 9.9643219e-01 3.1852608e-03]
19,positive,positive,TRUE,"Sommerferien går til Montenegro. Er du sådan én, der har gode tips til det land, så vil jeg herre mega gerne have dem ☺️",[-2.0080285 -3.5087287  3.463986 ],[4.1812663e-03 9.3231379e-04 9.9488646e-01]
20,positive,neutral,MISS,"Og nej, det er ikke passivt.",[-3.170919  -1.8012308  2.7796404],[0.00257134 0.01011597 0.9873126 ]
21,negative,negative,TRUE,"I at straffe to klubber for et problem, der veldokumenteret går på tværs af alle klubber. Det er en pop-reaktion, efter at de ikke har taget deres ansvar seriøst. Og det er problemet med DBU og især disciplinærudvalget. At de altid kun har moral, nær det er billigt og opportunt.",[ 4.4942837 -1.6752452 -1.736106 ],[0.99595547 0.00208376 0.00196072]
22,neutral,neutral,TRUE,Kræft øger risiko for andre sygdomme senere i livet,[-2.1493723  5.2324567 -1.9237714],[6.2158942e-04 9.9859947e-01 7.7889871e-04]
23,negative,negative,TRUE,"Hold nu op. Dansk Folkeparti vil ikke ud af EU. Partiet ønsker bare ikke, den danske befolkning får indflydelse. Det var tydeligt i 2015, hvor partiet argumenterede for, den ønskede tilvalgsordning ikke krævede en folkeafstemning, og var imod det, befolkningen ville have gavn af.",[ 4.4334908 -1.7075405 -1.7675947],[0.99583745 0.00214374 0.00201879]
24,neutral,negative,MISS,"Selvom Danmark ikke er længere er med i det europæiske politisamarbejde, Europol, så bruger politiet Europols forbryder-database (EIS) som aldrig før. #dkpol",[ 1.1790266  2.8072948 -1.6766477],[0.16253395 0.8281176  0.00934847]
25,negative,negative,TRUE,"Hvis der er en embedsmand i statsministeriet, som pt . ikke har travlt med at føre valgkamp for V - kan du så ikke vise vores statsminister Ordensbekendtgørelsen? #dkpol",[ 2.4932542  1.2647414 -1.6206975],[0.7639007  0.2236148  0.01248448]
26,negative,neutral,MISS,"Milos.. Der er en himmelvid forskel på at bruge en sexuel orientering som skældsord, og et erhverv, uanset om det er luder/bilsælger/bankmand eller håndværker. Du kan skifte erhverv, det er umiddelbart nok sværere at sexualitet. Læs tipsbladets artikel om",[ 4.416082  -1.1567742 -1.9029872],[0.99443    0.00377845 0.00179159]
27,negative,negative,TRUE,"Det er jo nemt nok at mene noget drastisk, når man tilhører en gruppe, som ikke ryger og ellers har fint råd til at betale 90 kr. for en pakke.",[ 4.4349966 -1.3930507 -1.9411515],[0.9953759  0.00293021 0.0016938 ]
28,neutral,negative,MISS,"RT @USER: Du mener: Hvem bliver nummer tre ?

Først var det skolelærerne...",[-0.286475   4.9190464 -2.5140479],[5.4530473e-03 9.9395919e-01 5.8778276e-04]
29,negative,neutral,MISS,"Mediernes rolle skal forklares forfra, skriver som kommentar til ""På sin vis er der tale om ytringsfrihed på speed. Men hvis de forpligtede, uafhængige medier samtidig svækkes, får vi et demokratisk problem"" #dkmedier",[ 3.5566788   0.10728287 -1.4243703 ],[0.9628052  0.03058334 0.00661144]
30,negative,positive,MISS,"Ved du overhovedet hvad det ord betyder?

Jeg er fuldstændig enig med @USER. Danmark har brug for en ny retning!",[ 3.9079375 -1.476842  -1.8401847],[0.9922854  0.00455047 0.00316416]
31,neutral,negative,MISS,Der er noget skrivere har misforstået. Han skriver en nedsænkning vil give 7000 yderlige pladser og det er AGFS ønske. AGF har ikke noget ønske om at øge kapaciteten til 27000 #ultratwitteragf,[ 1.729119  2.658305 -2.439937],[0.2818558  0.7137848  0.00435942]
32,negative,negative,TRUE,"Jeg finder det mere problematisk, at de antager den yngre generation ikke kender Michael Laudrup. Historielærer møgunger!!",[ 4.412243  -1.5803936 -1.8547192],[0.99562424 0.00248614 0.00188968]
33,negative,negative,TRUE,"Hvorfor gør #dkpol ikke noget mere for at få flere elbiler på vejene, ladestandere sat op....",[ 4.347981  -1.6861727 -1.7445087],[0.99536633 0.00238442 0.0022493 ]
34,neutral,positive,MISS,"Konkurrencestater kommer i forskellige varianter, og det samme gælder for den danske konkurrencestat 🇩🇰. Nysgerrig? Køb 'Konkurrencestatsministeren' her: #dkpol #dkøko",[-2.6019783  5.223087  -1.7011209],[3.9904055e-04 9.9861860e-01 9.8232343e-04]
35,positive,neutral,MISS,"Jo jo, men de kan jo ikke bruges som en overvældende del af holdets succes. De har ydet på visse områder, men har vel ikke været kæmpe profiler.",[-2.2404103  -0.11838628  0.8551593 ],[0.03179869 0.265456   0.7027454 ]
36,neutral,positive,MISS,Viacom letter på aftale med AT&amp;T og topper S&amp;P 500-indekset,[-2.951501   5.204747  -1.6880049],[2.8656382e-04 9.9869967e-01 1.0137963e-03]
37,positive,positive,TRUE,Det er flot! Træning er heller ikke en særligt stor del af vægttab. Du kan ikke træne dig ud af dårlige spisevaner du skal spise dig ud af dem. Træning er selvfølgelig godt for en masse andre ting så det er helt fint at træne (eller ej).,[-2.777381  -2.1760905  2.767395 ],[0.00386516 0.00705187 0.98908305]
38,positive,neutral,MISS,Online Angst Kursus. Prøv gratis. Ingen binding. Ingen kreditkort. Gå til → #angst #stress #denmark,[-4.0337787  1.0357332  1.3296163],[0.00267705 0.42591026 0.5714127 ]
