,Predicted Labels,True Labels,Misclassification,Text,Logit Values,Probabilities
0,neutral,neutral,TRUE,@USER Klæk det æg!,[ 0.05934085  0.10036105 -0.12271795],[0.34777462 0.36233702 0.28988832]
1,negative,negative,TRUE,"Jeg er sindssygt enig i, at præmissen om rød og blå blok er ødelæggende. Medierne kunne gøre en kæmpe forskel, hvis de redefinerede måden de dækker politik på, men desværre er et binært verdensbillede langt mere enkelt at forholde sig til end et systemisk. #dkpol #dkmedier [LINK]",[ 1.0013951  -0.40791786 -0.8134484 ],[0.71064395 0.17361818 0.11573788]
2,negative,negative,TRUE,@USER @USER @USER @USER @USER @USER Uanset hvad du har lavet før er det ingen undskyldning for at være dum på twitter,[ 0.99319535 -0.39625698 -0.76891226],[0.7037821  0.17539077 0.12082717]
3,negative,negative,TRUE,"@USER Det var derfor jeg lige skrev det dér for en sikkerheds skyld. Det var ikke tydeligt for mig, det var en joke.

Jeg er med på holdet med ikke rigtig at have drømme for livet. Jeg vil ikke sige, mit liv er et mareridt længere, men har måttet lære ikke at have håb og drømme.",[ 1.0122133  -0.44662637 -0.81035703],[0.7173006  0.16677663 0.11592282]
4,neutral,neutral,TRUE,"@USER Sådan skal forsendelser selvfølgelig ikke levers. Hvis du ikke er hjemme eller den ikke kan være i postkasse, er det på posthuset. 
Kan jeg be' dig om at sende pakkenummer samt adressen i pb? Så undersøge jeg nærmere.

^TV",[-0.540164    0.44960263  0.3328271 ],[0.16434751 0.4421945  0.39345795]
5,neutral,neutral,TRUE,RT @USER: No plans today? Stream the latest #Riverdale: [LINK] [LINK],[-0.7414306   0.53514796  0.45274222],[0.12682016 0.4545685  0.41861135]
6,negative,neutral,MISS,"La oss si at Chelsea beholder Hazard. 
Kepa
Dave
Luiz
Rudi
Emerson
Jorghino
Kante
RLC
CHO
Hazard
Abraham

Men det viktigste er faktisk å beholde Sarri.
Lukter gull neste år.
#carefree",[ 0.28677553  0.02708602 -0.24779105],[0.4242296  0.3272045  0.24856593]
7,negative,negative,TRUE,"@USER @USER @USER @USER Synes bare det er lidt underligt at frydes over, at der fjernes forskningsmidler fra kernekraft? Hvis det blev for ærgerlig en drejning, kan vi da godt holde her. Min holdning er, at der er en uforholdsmæssig stor modvilje mod kernekraft i Danmark i forhold til vidensniveauet.",[ 1.0365788 -0.4433025 -0.8322474],[0.723605   0.16473933 0.11165564]
8,negative,neutral,MISS,"Danmark er nok det eneste sted i verden, hvor ytringfriheden åbenbart står over loven....

#DKpol",[ 0.95786744 -0.400709   -0.7573641 ],[0.69591916 0.17886962 0.12521121]
9,negative,negative,TRUE,"Øv @USER! Du snakker udenom i @USER om billigere tandpleje
I praler af at have haft regeringsansvar i 17 af de seneste 20 år &amp; så snakker du om at bureaukratiske tilskudsodninger &amp; at andre skal byde ind med finansiering
Hvad laver jeres ministre? #sundpol #dkpol",[ 1.0168731  -0.45809507 -0.7985353 ],[0.7186193  0.16441004 0.11697068]
