,Predicted Labels,True Labels,Misclassification,Text,Logit Values,Probabilities
0,positive,neutral,MISS,"Ville være fantastisk, meeeen....",[-2.2827432 -3.036554   3.2523475],[0.00392309 0.00184609 0.99423087]
1,neutral,positive,MISS,"Jeg🤞🏼 for, at #skolechat og de nationale test kommer til at fylde i valgkampen. Det bør være en folkelig debat. Og anbefaler dette interview med @USER, der var undervisningsminister, da de nationale test blev besluttet",[-3.4992318   3.2131698  -0.49669012],[0.00118528 0.97494715 0.02386764]
2,neutral,neutral,TRUE,FHK-kæmpe skal ikke med i ligaen: Får ikke forlænget sin aftale,[-2.5408514  5.336374  -1.875976 ],[3.7886106e-04 9.9888450e-01 7.3659967e-04]
3,neutral,neutral,TRUE,Softwarestartup rejser 91 millioner til ekspansion og udbredning af platform,[-3.835389   4.578872  -1.2085855],[2.2095688e-04 9.9672323e-01 3.0557213e-03]
4,neutral,negative,MISS,"Er det ikke en lidt paranoid opfattelse? Hvad med Margaret Thatcher, Angela Merkel og Theresa May? Der er da ingen som taler om deres mænd?",[ 1.1253879  3.0297928 -2.5337334],[0.12917952 0.86749345 0.00332704]
5,neutral,neutral,TRUE,Landmænd har ventet flere år på støtte: Udflytning har bremset millioner til landbruget (Dette er en plus-artikel),[-1.0400863  5.0908217 -2.1874194],[2.1683930e-03 9.9714321e-01 6.8842643e-04]
6,positive,positive,TRUE,Kim var fantastisk fagligt og en god nabo. Jeg havde meget god sparring med ham vedr HPV. Og var glad fordi han sagde ja til at deltage. Savner ham,[-1.9527012 -3.4054673  3.3625896],[0.00488621 0.00114299 0.9939709 ]
7,negative,negative,TRUE,"Når man mener det er helt OK at komme med homofobiske tilråb under en fodboldkamp, er det vel også på sin plads med en ordentlig mandeslåskamp efter kampen....

Der findes mænd der ALDRIG kommer ud over stenalderstadiet..",[ 4.333387  -1.4583567 -1.8309976],[0.9948708  0.003037   0.00209223]
8,neutral,negative,MISS,Saudierne er mestre i at manipulere de globale medier. Læs min seneste i @USER: #SaudiArabien #Dkmedier #dkpol,[ 1.1568596   1.7396349  -0.81449115],[0.3412654  0.61120707 0.04752756]
9,neutral,negative,MISS,"Er det et godt tegn, når man som fodboldspiller har fuldt fokus på ikke at blive skadet? #sldk",[-2.8705041  4.918662  -1.4701607],[4.1333228e-04 9.9790984e-01 1.6767215e-03]
10,negative,neutral,MISS,"BPA er verdens bedste kompensationsordning. Men den kan kun fungere, hvis de borgere der ønsker det, kan overdrage deres arbejdsgiveansvar. Den ret udhules fuldstændig, når kommunerne presser adm.bidraget i bund #dkpol @USER
[LINK]",[ 4.2747817 -1.5974183 -1.575952 ],[0.99433774 0.00280072 0.00286149]
11,neutral,positive,MISS,"Ny opgørelse viser, at det i høj grad er TV 2-kanalerne, der har skruet op for produktionen af ny dansk tv-fiktion #dkmedier",[-3.2155209  4.849379  -1.2011443],[3.1354523e-04 9.9733609e-01 2.3503506e-03]
12,neutral,negative,MISS,"tbh Jeg antager altid, at de fleste lande uden af Europa er farlige, for folk som mig. Det er mere sikker, end at antage det modsatte.",[-2.864156    3.8032854  -0.73856866],[0.00125666 0.9882153  0.01052809]
13,negative,negative,TRUE,"Det fortæller jo alt, DF byder nazilignende tilstande velkommen i folketinget.

Håber ikke at det overrasker nogen.

#dkpol",[ 4.193646  -1.5553449 -1.5107676],[0.993525   0.00316536 0.00330966]
14,neutral,neutral,TRUE,"pinen er udsat til imorgen, det er en større omgang jeg er igennem.",[-2.1381662  5.0053353 -1.7465768],[7.8843709e-04 9.9804521e-01 1.1663586e-03]
15,positive,positive,TRUE,"Sikkert nok, og du har ret i, at der ""altid"" er mange Brøndby-folk med i Odense. Men den fine kulisse i dag skyldes også et pænt Odense-fremmøde.",[-2.1671891 -3.1590424  3.3222501],[0.00410691 0.0015232  0.9943699 ]
16,negative,negative,TRUE,"Ligesom meget andet i livet så er der vel sagtens både gode, dårlige, indholdsrige, og uinteressante pressemøder - men I journalister bliver vel betalt for det ... Det er jeres arbejde eller ??",[ 4.2559757 -1.4237671 -1.7955823],[0.99426454 0.00339485 0.00234069]
17,neutral,neutral,TRUE,Blågårdsgade 2. Look for Sasaa at Facebook,[-2.4281893  5.5574527 -1.9788561],[3.4001688e-04 9.9912709e-01 5.3289719e-04]
18,neutral,positive,MISS,"DAT fejrer 30 år med fly Det er i dag 30 år siden, at Kirsten og Jesper Rungholm lettede med deres første fly. I dag råder de over 22 fly og har mere end 500 ansatte.",[-3.3232358  4.449907  -1.1454997],[4.1915485e-04 9.9588120e-01 3.6995879e-03]
19,positive,positive,TRUE,"Sommerferien går til Montenegro. Er du sådan én, der har gode tips til det land, så vil jeg herre mega gerne have dem ☺️",[-2.0082893 -3.444357   3.4211924],[0.00436169 0.00103748 0.9946009 ]
20,positive,neutral,MISS,"Og nej, det er ikke passivt.",[-3.1357915 -1.7931206  2.728811 ],[0.00279978 0.01072107 0.9864791 ]
21,negative,negative,TRUE,"I at straffe to klubber for et problem, der veldokumenteret går på tværs af alle klubber. Det er en pop-reaktion, efter at de ikke har taget deres ansvar seriøst. Og det er problemet med DBU og især disciplinærudvalget. At de altid kun har moral, nær det er billigt og opportunt.",[ 4.3124075 -1.550053  -1.5596535],[0.99437064 0.00282823 0.0028012 ]
22,neutral,neutral,TRUE,Kræft øger risiko for andre sygdomme senere i livet,[-2.0927515  5.1526046 -1.8872916],[7.1234768e-04 9.9841285e-01 8.7482698e-04]
23,negative,negative,TRUE,"Hold nu op. Dansk Folkeparti vil ikke ud af EU. Partiet ønsker bare ikke, den danske befolkning får indflydelse. Det var tydeligt i 2015, hvor partiet argumenterede for, den ønskede tilvalgsordning ikke krævede en folkeafstemning, og var imod det, befolkningen ville have gavn af.",[ 4.251263  -1.5626936 -1.582698 ],[0.9941227  0.00296805 0.00290926]
24,neutral,negative,MISS,"Selvom Danmark ikke er længere er med i det europæiske politisamarbejde, Europol, så bruger politiet Europols forbryder-database (EIS) som aldrig før. #dkpol",[ 0.7313237  2.980985  -1.5593004],[0.09446684 0.8959728  0.00956036]
25,negative,negative,TRUE,"Hvis der er en embedsmand i statsministeriet, som pt . ikke har travlt med at føre valgkamp for V - kan du så ikke vise vores statsminister Ordensbekendtgørelsen? #dkpol",[ 2.2160006  1.4006335 -1.5115875],[0.6818828  0.30171737 0.01639981]
26,negative,neutral,MISS,"Milos.. Der er en himmelvid forskel på at bruge en sexuel orientering som skældsord, og et erhverv, uanset om det er luder/bilsælger/bankmand eller håndværker. Du kan skifte erhverv, det er umiddelbart nok sværere at sexualitet. Læs tipsbladets artikel om",[ 4.1659203 -1.003419  -1.7147576],[0.9915902  0.00564049 0.0027694 ]
27,negative,negative,TRUE,"Det er jo nemt nok at mene noget drastisk, når man tilhører en gruppe, som ikke ryger og ellers har fint råd til at betale 90 kr. for en pakke.",[ 4.3226542 -1.254807  -1.8697851],[0.9942068  0.00376024 0.00203299]
28,neutral,negative,MISS,"RT @USER: Du mener: Hvem bliver nummer tre ?

Først var det skolelærerne...",[-0.32656816  4.883351   -2.4535925 ],[5.4289280e-03 9.9392396e-01 6.4708153e-04]
29,negative,neutral,MISS,"Mediernes rolle skal forklares forfra, skriver som kommentar til ""På sin vis er der tale om ytringsfrihed på speed. Men hvis de forpligtede, uafhængige medier samtidig svækkes, får vi et demokratisk problem"" #dkmedier",[ 2.4021983  0.5856994 -1.1195629],[0.8388267  0.1363882  0.02478511]
30,negative,positive,MISS,"Ved du overhovedet hvad det ord betyder?

Jeg er fuldstændig enig med @USER. Danmark har brug for en ny retning!",[ 3.5909698 -1.5736421 -1.6594133],[0.98915803 0.00565332 0.00518864]
31,neutral,negative,MISS,Der er noget skrivere har misforstået. Han skriver en nedsænkning vil give 7000 yderlige pladser og det er AGFS ønske. AGF har ikke noget ønske om at øge kapaciteten til 27000 #ultratwitteragf,[ 1.448272   3.0005739 -2.5547974],[0.17419821 0.82262105 0.00318077]
