sentence,textID,mean_age,mean_leaning,n_coder,morality,emotion,positive,negative,both,care,fairness,loyalty,authority,sanctity,harm,injustice,betrayal,subversion,degradation,general,idk,uncodable,morality_binary,emotion_binary,positive_binary,negative_binary,sent_mixed_binary,care_binary,fairness_binary,loyalty_binary,authority_binary,sanctity_binary,harm_binary,injustice_binary,betrayal_binary,subversion_binary,degradation_binary,general_binary
Danmark kan ikke leve af gæld.,da_pa_3058436,28.6,4.6,5,4,3,1,3,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Efter et regeringsskifte vil den økonomiske politik bygge på et meget klart forsigtighedsprincip.,da_ma_14820,28.6,4.6,5,4,2,4,0,0,1,3,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"Vi vil oprette et agentur mod falske nyheder, der udarbejder modsvar og korrigerer falske nyhedshistorier i Danmark.",da_ma_21196,28.6,4.6,5,4,4,2,1,1,0,3,2,3,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
"Lige netop  sygeskatten kunne have været et udspil, som LO og DA kunne  have brugt selv til at få forhandlingerne på gled igen - alt  i alt et indgreb og en lovgivning, der er tydeligt præget af  at være udarbejdet af politikere fra Overdanmark med  funktionærverdenen som eneste erfaringsgrundlag og uden  særlig meget viden om, hvor skoen trykker.",da_pa_140012,28.6,4.6,5,2,3,0,2,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HK, har ønsket at få kønsopdelt  lønstatistik.",da_pa_1502335,28.6,4.6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Så jeg synes, det er ret svært, når man skal igennem de her ting, og jeg synes heller ikke, vi kan være bekendt, at noget, der er så vigtigt som forbrugernes sikkerhed, når det gælder medicin, skal puttes ind sammen med en hel masse andre ting.",da_pa_3609778,28.6,4.6,5,5,5,2,2,1,2,1,1,0,0,2,2,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0
Grænseoverskridende problemer må løses gennem et grænseoverskridende samarbejde.,da_ma_22952,28.6,4.6,5,5,2,3,0,2,1,2,1,1,0,1,0,0,0,2,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
Forskellen mellem virkningerne på beskæftigelse og arbejdsløshed ligger i den øgede uddannelsesindsats.,da_ma_8099,28.6,4.6,5,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Det er sådan, at jeg lige har været inde at tjekke min ordførertale, så jeg ikke skulle få samme svada fra hr.",da_pa_3758312,28.6,4.6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Det ene er at give borgerne mulighed for frit at kunne rejse rundt i Europa, så de f.eks. ikke skal stå i lange køer, når de skal på ferie nede sydpå.",da_pa_2605233,28.6,4.6,5,3,3,3,0,0,2,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Derfor har vi også i den seneste folketingsperiode givet forsvaret det substantielle løft, som vi lovede, at der ville komme.",da_ma_30902,28.6,4.6,5,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
