,Predicted Labels,True Labels,Misclassification,Text,Logit Values,Probabilities
0,positive,neutral,MISS,"Ville være fantastisk, meeeen....",[-4.2739754 -2.4590337  5.9890375],[3.4891680e-05 2.1425991e-04 9.9975079e-01]
1,neutral,positive,MISS,"Jeg🤞🏼 for, at #skolechat og de nationale test kommer til at fylde i valgkampen. Det bør være en folkelig debat. Og anbefaler dette interview med @USER, der var undervisningsminister, da de nationale test blev besluttet",[-2.8504734  5.4655957 -3.3793175],[2.4446042e-04 9.9961156e-01 1.4405693e-04]
2,neutral,neutral,TRUE,FHK-kæmpe skal ikke med i ligaen: Får ikke forlænget sin aftale,[-4.2359033  6.1501637 -2.79508  ],[3.0854506e-05 9.9983871e-01 1.3033465e-04]
3,neutral,neutral,TRUE,Softwarestartup rejser 91 millioner til ekspansion og udbredning af platform,[-3.889149   5.7143636 -2.606134 ],[6.7470261e-05 9.9968922e-01 2.4339903e-04]
4,negative,negative,TRUE,"Er det ikke en lidt paranoid opfattelse? Hvad med Margaret Thatcher, Angela Merkel og Theresa May? Der er da ingen som taler om deres mænd?",[ 6.3360076 -4.7613983 -4.5603366],[9.9996638e-01 1.5151060e-05 1.8525216e-05]
5,neutral,neutral,TRUE,Landmænd har ventet flere år på støtte: Udflytning har bremset millioner til landbruget (Dette er en plus-artikel),[-4.069162   5.747136  -2.4881265],[5.4537766e-05 9.9968040e-01 2.6505251e-04]
6,positive,positive,TRUE,Kim var fantastisk fagligt og en god nabo. Jeg havde meget god sparring med ham vedr HPV. Og var glad fordi han sagde ja til at deltage. Savner ham,[-4.423681  -2.1484063  5.8084526],[3.5980982e-05 3.5011646e-04 9.9961394e-01]
7,negative,negative,TRUE,"Når man mener det er helt OK at komme med homofobiske tilråb under en fodboldkamp, er det vel også på sin plads med en ordentlig mandeslåskamp efter kampen....

Der findes mænd der ALDRIG kommer ud over stenalderstadiet..",[ 6.1840334 -4.8302145 -4.228523 ],[9.9995351e-01 1.6464659e-05 3.0051373e-05]
8,negative,negative,TRUE,Saudierne er mestre i at manipulere de globale medier. Læs min seneste i @USER: #SaudiArabien #Dkmedier #dkpol,[ 2.6225855  -0.92145014 -2.9938774 ],[0.9684912  0.02798598 0.00352287]
9,neutral,negative,MISS,"Er det et godt tegn, når man som fodboldspiller har fuldt fokus på ikke at blive skadet? #sldk",[-3.5072403  5.7623    -3.0019429],[9.4228184e-05 9.9974960e-01 1.5618122e-04]
10,negative,neutral,MISS,"BPA er verdens bedste kompensationsordning. Men den kan kun fungere, hvis de borgere der ønsker det, kan overdrage deres arbejdsgiveansvar. Den ret udhules fuldstændig, når kommunerne presser adm.bidraget i bund #dkpol @USER
[LINK]",[ 5.5397544 -3.604027  -4.5665617],[9.9985230e-01 1.0686659e-04 4.0814903e-05]
