,Predicted Labels,True Labels,Misclassification,Text,Logit Values,Probabilities
0,positive,neutral,MISS,"Ville være fantastisk, meeeen....",[-3.298678  -2.0449097  5.5396376],[1.4497213e-04 5.0791318e-04 9.9934715e-01]
1,positive,positive,TRUE,"Jeg🤞🏼 for, at #skolechat og de nationale test kommer til at fylde i valgkampen. Det bør være en folkelig debat. Og anbefaler dette interview med @USER, der var undervisningsminister, da de nationale test blev besluttet",[-3.9773483 -0.6799268  5.1488285],[1.0844985e-04 2.9327893e-03 9.9695873e-01]
2,neutral,neutral,TRUE,FHK-kæmpe skal ikke med i ligaen: Får ikke forlænget sin aftale,[-2.1397474  4.8806014 -2.19096  ],[8.9195982e-04 9.9826068e-01 8.4743014e-04]
3,neutral,neutral,TRUE,Softwarestartup rejser 91 millioner til ekspansion og udbredning af platform,[-2.1212823  4.733357  -2.238988 ],[1.0524557e-03 9.9801195e-01 9.3558850e-04]
4,negative,negative,TRUE,"Er det ikke en lidt paranoid opfattelse? Hvad med Margaret Thatcher, Angela Merkel og Theresa May? Der er da ingen som taler om deres mænd?",[ 5.576208  -2.2935798 -3.5166757],[9.9950576e-01 3.8192642e-04 1.1240766e-04]
5,neutral,neutral,TRUE,Landmænd har ventet flere år på støtte: Udflytning har bremset millioner til landbruget (Dette er en plus-artikel),[ 0.7713883  3.61498   -4.072578 ],[5.4989688e-02 9.4457722e-01 4.3308525e-04]
6,positive,positive,TRUE,Kim var fantastisk fagligt og en god nabo. Jeg havde meget god sparring med ham vedr HPV. Og var glad fordi han sagde ja til at deltage. Savner ham,[-3.2246282 -2.5017135  5.754752 ],[1.259323e-04 2.594747e-04 9.996146e-01]
7,negative,negative,TRUE,"Når man mener det er helt OK at komme med homofobiske tilråb under en fodboldkamp, er det vel også på sin plads med en ordentlig mandeslåskamp efter kampen....

Der findes mænd der ALDRIG kommer ud over stenalderstadiet..",[ 4.677947   -0.25463203 -4.4671783 ],[9.92738545e-01 7.15554971e-03 1.05963765e-04]
8,neutral,negative,MISS,Saudierne er mestre i at manipulere de globale medier. Læs min seneste i @USER: #SaudiArabien #Dkmedier #dkpol,[ 0.05511265  4.0775557  -3.7501526 ],[1.7587181e-02 9.8202145e-01 3.9137263e-04]
9,positive,negative,MISS,"Er det et godt tegn, når man som fodboldspiller har fuldt fokus på ikke at blive skadet? #sldk",[-3.289771  -2.2463083  5.452342 ],[1.5961817e-04 4.5316087e-04 9.9938715e-01]
10,negative,neutral,MISS,"BPA er verdens bedste kompensationsordning. Men den kan kun fungere, hvis de borgere der ønsker det, kan overdrage deres arbejdsgiveansvar. Den ret udhules fuldstændig, når kommunerne presser adm.bidraget i bund #dkpol @USER
[LINK]",[ 5.798005  -2.6327581 -3.4881747],[9.9968934e-01 2.1798727e-04 9.2667724e-05]
11,neutral,positive,MISS,"Ny opgørelse viser, at det i høj grad er TV 2-kanalerne, der har skruet op for produktionen af ny dansk tv-fiktion #dkmedier",[-1.5619848  4.9858923 -2.9084656],[1.4305710e-03 9.9819726e-01 3.7216916e-04]
